,Text,Sentiment,Date/Time,Location,Confidence Score,length,clean_text
59,The website loading speed is frustratingly slow. Needs improvement.,Negative,2023-07-17 17:15:22,Toronto,0.62,67,"['website', 'loading', 'speed', 'frustratingly', 'slow', 'Needs', 'improvement']"
60,The food at this cafe exceeded my expectations. Absolutely delicious!,Positive,2023-07-13 19:18:53,Mumbai,0.92,69,"['food', 'cafe', 'exceeded', 'expectations', 'Absolutely', 'delicious']"
61,I'm disappointed with the ending of this TV show. It left too many unanswered questions.,Negative,2023-07-14 08:32:41,Los Angeles,0.66,88,"['Im', 'disappointed', 'ending', 'TV', 'show', 'left', 'many', 'unanswered', 'questions']"
62,This album is a masterpiece. Every song is a work of art!,Positive,2023-07-14 11:05:27,London,0.93,57,"['album', 'masterpiece', 'Every', 'song', 'work', 'art']"
63,The website layout is cluttered and confusing. Difficult to find information.,Negative,2023-07-14 14:40:05,Sydney,0.67,77,"['website', 'layout', 'cluttered', 'confusing', 'Difficult', 'find', 'information']"
64,The roller coaster at this theme park is a thrilling experience. A must-try!,Positive,2023-07-14 17:25:09,Orlando,0.91,76,"['roller', 'coaster', 'theme', 'park', 'thrilling', 'experience', 'musttry']"
65,The product I ordered never arrived. Poor customer service.,Negative,2023-07-15 08:50:13,Chicago,0.63,59,"['product', 'ordered', 'never', 'arrived', 'Poor', 'customer', 'service']"
66,I'm in awe of this artist's talent. Their paintings are breathtaking!,Positive,2023-07-15 12:30:08,Paris,0.94,69,"['Im', 'awe', 'artists', 'talent', 'paintings', 'breathtaking']"
67,The food at this restaurant was disappointing. Not worth the price.,Negative,2023-07-15 15:45:32,Mumbai,0.68,67,"['food', 'restaurant', 'disappointing', 'worth', 'price']"
68,This playlist is perfect for relaxation. Soothing and calming!,Positive,2023-07-15 18:20:17,Berlin,0.91,62,"['playlist', 'perfect', 'relaxation', 'Soothing', 'calming']"
69,The website navigation is smooth and intuitive. I found what I needed quickly.,Positive,2023-07-15 21:05:44,Toronto,0.88,78,"['website', 'navigation', 'smooth', 'intuitive', 'found', 'needed', 'quickly']"
70,The ride on this cruise ship was an unforgettable experience. I loved every moment!,Positive,2023-07-16 09:12:54,Sydney,0.95,83,"['ride', 'cruise', 'ship', 'unforgettable', 'experience', 'loved', 'every', 'moment']"
71,The product I received was of poor quality. It broke after a few uses.,Negative,2023-07-16 11:45:32,Los Angeles,0.61,70,"['product', 'received', 'poor', 'quality', 'broke', 'uses']"
72,This book kept me hooked from start to finish. A captivating read!,Positive,2023-07-16 14:23:18,London,0.9,66,"['book', 'kept', 'hooked', 'start', 'finish', 'captivating', 'read']"
73,The customer service at this store is outstanding. They truly care about their customers.,Positive,2023-07-16 17:05:46,New York,0.92,89,"['customer', 'service', 'store', 'outstanding', 'truly', 'care', 'customers']"
74,I had a frustrating experience with their technical support. No resolution provided.,Negative,2023-07-16 19:40:27,San Francisco,0.67,84,"['frustrating', 'experience', 'technical', 'support', 'resolution', 'provided']"
